:htere     -> there
abbout     -> about
:thier     -> their
woudl      -> would
peaple     -> people
:hwihc     -> which
coudl      -> could
:htink     -> think
:otehr     -> other
beacuse    -> because
theese     -> these
:goign     -> going
:yaers     -> years
:thsoe     -> those
shoudl     -> should
littel     -> little
:hwile     -> while
aroud      -> around
thign      -> thing
anohter    -> another
beteen     -> between
:eveyr     -> every
:graet     -> great
:agian     -> again
:sicne     -> since
alwasy     -> always
throught   -> thought
:acheiv    -> achiev
almsot     -> almost
chnage     -> change
chekc      -> check
claer      -> clear
comapny    -> company
contian    -> contain
elasped    -> elapsed
feild      -> field
fitler     -> filter
firts      -> first
follwo     -> follow
:foudn     -> found
iamge      -> image
inital     -> initial
lenght     -> length
:moeny     -> money
mysefl     -> myself
probaly    -> probably
probelm    -> problem
recrod     -> record
reponse    -> response
reprot     -> report
singel     -> single
stregth    -> strength
tkaes      -> takes
therfore   -> therefore
todya      -> today
toghether  -> together
unkown     -> unknown
unqiue     -> unique
accross    -> across
adviced    -> advised
amature    -> amateur
aparent    -> apparent
asthetic   -> aesthetic
busness    -> business
excercise  -> exercise
:grammer   -> grammar
guaratee   -> guarantee
maintence  -> maintenance
neccesary  -> necessary
pallete    -> palette
paralel    -> parallel
priviledge -> privilege
propogate  -> propagate
reciept    -> receipt
relevent   -> relevant
symetric   -> symmetric
tolerence  -> tolerance
cacheing   -> caching
doulbe     -> double
looup      -> lookup
namesapce  -> namespace
overide    -> override
:rference  -> reference
singed     -> signed
stirng     -> string
swithc     -> switch
teamplate  -> template
retrun     -> return
virutal    -> virtual
yeild      -> yield
:alot:     -> a lot
:andteh    -> and the
:asthe     -> as the
abouta     -> about a
aboutit    -> about it
:tothe     -> to the
didnot     -> did not
fromthe    -> from the
:ajust     -> adjust
:aslo:     -> also
:gaurd     -> guard
:haev      -> have
:idaes     -> ideas
:jsut:     -> just
:knwo      -> know
:ocuntry   -> country
:socre     -> score
:szie      -> size
:turth     -> truth
:uesd:     -> used
abilty     -> ability
acurate    -> accurate
addtion    -> addition
aganist    -> against
ahppn      -> happen
allign     -> align
aquire     -> acquire
availabe   -> available
beleive    -> believe
breif      -> brief
cauhgt     -> caught
ceratin    -> certain
cheif      -> chief
cieling    -> ceiling
circut     -> circuit
clasic     -> classic
cmoputer   -> computer
eligable   -> eligible
embarass   -> embarrass
embeded    -> embedded
finaly     -> finally
foriegn    -> foreign
fucntion   -> function
fufill     -> fulfill
generaly   -> generally
greatful   -> grateful
howver     -> however
importamt  -> important
inclued    -> include
insted     -> instead
intrest    -> interest
invliad    -> invalid
likly      -> likely
lisense    -> license
macthing   -> matching
mesage     -> message
naturual   -> natural
occured    -> occurred
paticular  -> particular
peice      -> piece
perhasp    -> perhaps
persue     -> pursue
posess     -> possess
postion    -> position
primarly   -> primarily
privte     -> private
proccess   -> process
proeprty   -> property
realtion   -> relation
reasearch  -> research
reccommend -> recommend
refered    -> referred
regluar    -> regular
releated   -> related
resutl     -> result
reveiw     -> review
satisifed  -> satisfied
scheduel   -> schedule
similiar   -> similar
slighly    -> slightly
somehwat   -> somewhat
statment   -> statement
sucess     -> success
sugest     -> suggest
sumary     -> summary
supress    -> suppress
thresold   -> threshold
tongiht    -> tonight
tranpose   -> transpose
typcial    -> typical
udpate     -> update
ususally   -> usually
verticies  -> vertices
wierd      -> weird
